iter	MultiClass
0	1.638227501
1	1.435485506
2	1.29986259
3	1.177609544
4	1.087061812
5	1.008447732
6	0.9449581362
7	0.8900230122
8	0.8443999195
9	0.802594595
10	0.7634340373
11	0.7329059128
12	0.7054043701
13	0.6807548115
14	0.6575043267
15	0.6364584894
16	0.6180691156
17	0.5992369198
18	0.5824230719
19	0.5675157194
20	0.5539598136
21	0.5424328182
22	0.5314620457
23	0.5222000769
24	0.5118758409
25	0.5027534708
26	0.4952097251
27	0.4882736543
28	0.4815649883
29	0.4751621561
30	0.4686148396
31	0.4626303884
32	0.4582497077
33	0.4530514737
34	0.4485431929
35	0.4442983328
36	0.4402669183
37	0.4370636829
38	0.4342713616
39	0.4304577639
40	0.4265075326
41	0.422724503
42	0.4193485893
43	0.4164453906
44	0.4141880166
45	0.4116018914
46	0.4090688555
47	0.4074670257
48	0.4053369311
49	0.4029093616
50	0.4003495377
51	0.3983705953
52	0.396280167
53	0.3941760618
54	0.3920492736
55	0.3898501455
56	0.3879348332
57	0.3866072117
58	0.3849881316
59	0.3831102649
60	0.3817559395
61	0.3802699533
62	0.3791028304
63	0.3773870556
64	0.3759313179
65	0.3745299373
66	0.3726524261
67	0.3711601523
68	0.3698785407
69	0.3684247402
70	0.3670186278
71	0.3658365868
72	0.3649471807
73	0.363756631
74	0.3625572035
75	0.3615275932
76	0.3603123863
77	0.3592472149
78	0.3577817685
79	0.3566733741
80	0.355273339
81	0.3540483626
82	0.3530272435
83	0.3523185545
84	0.3512852012
85	0.350382662
86	0.349082209
87	0.3484630899
88	0.3469607327
89	0.3458414987
90	0.3451656381
91	0.344262953
92	0.3434486099
93	0.3424558463
94	0.3415923199
95	0.3407389056
96	0.3398715185
97	0.3389748812
98	0.3381901153
99	0.337530234
100	0.3366139558
101	0.3359192708
102	0.3351190004
103	0.3343364086
104	0.3328990315
105	0.3320479868
106	0.3312717563
107	0.3305963556
108	0.3292319077
109	0.3286878523
110	0.3278761922
111	0.3273218116
112	0.3261846965
113	0.3254641826
114	0.3250119183
115	0.3241803326
116	0.3235505518
117	0.3229900927
118	0.3222868055
119	0.3216054287
120	0.3209003085
121	0.319743597
122	0.3189829851
123	0.3185582117
124	0.3178374304
125	0.3173561919
126	0.3162981502
127	0.3155034487
128	0.3149229208
129	0.3142977291
130	0.3138791953
131	0.3130358209
132	0.3125559966
133	0.3118318666
134	0.3112897083
135	0.3108705759
136	0.3102518517
137	0.3095916912
138	0.3091161763
139	0.3084595568
140	0.307731396
141	0.3074495888
142	0.3069076059
143	0.3062877848
144	0.3057006464
145	0.3053044437
146	0.3046936366
147	0.3042142927
148	0.3038024553
149	0.3033041339
150	0.3028869853
151	0.302656543
152	0.3020398739
153	0.3016235177
154	0.3010758576
155	0.3004984543
156	0.2999939175
157	0.2995679393
158	0.2989629505
159	0.2984686679
160	0.2980629792
161	0.297450882
162	0.2969307811
163	0.2965470425
164	0.2958921368
165	0.2952301236
166	0.2948325976
167	0.2942514238
168	0.293818759
169	0.2931662276
170	0.2927799639
171	0.2920655171
172	0.2914277194
173	0.2912115425
174	0.2906393419
175	0.2902371633
176	0.2896657158
177	0.2892851246
178	0.2888538436
179	0.2884239711
180	0.2880943969
181	0.287603349
182	0.2871730802
183	0.2868198755
184	0.2861805831
185	0.2857885468
186	0.2854188603
187	0.2850245277
188	0.2844999715
189	0.2842291761
190	0.2840634106
191	0.283671035
192	0.2832188481
193	0.2828532273
194	0.2825375476
195	0.2822709908
196	0.2817829011
197	0.2814261287
198	0.2809049744
199	0.2801820192
200	0.2798875861
201	0.2795509925
202	0.2788391504
203	0.2784540156
204	0.2781181087
205	0.2777816727
206	0.2774477362
207	0.277034319
208	0.2766338191
209	0.2762711881
210	0.2760390654
211	0.2756978375
212	0.2753384099
213	0.2747903548
214	0.2743236819
215	0.2739626775
216	0.2735188162
217	0.2733118578
218	0.2730114718
219	0.2727348599
220	0.272304573
221	0.2719328115
222	0.271610817
223	0.2712643816
224	0.2708941784
225	0.2705730284
226	0.2701381123
227	0.2698151831
228	0.2694792446
229	0.2693011767
230	0.2689229753
231	0.2683759573
232	0.2679806498
233	0.2675890906
234	0.267288105
235	0.2668904555
236	0.2665401633
237	0.2662118737
238	0.2659883318
239	0.2655970846
240	0.2652289151
241	0.2648358938
242	0.2645293118
243	0.2642651156
244	0.2638916847
245	0.2637165454
246	0.2634523924
247	0.2631658703
248	0.2627988078
249	0.2624856247
250	0.2622476953
251	0.2616856084
252	0.2614274859
253	0.2608670227
254	0.2605813394
255	0.2601963738
256	0.2599144489
