iter	Passed	Remaining
0	49	48956
1	59	29808
2	70	23288
3	80	20032
4	90	18029
5	100	16710
6	110	15732
7	121	15039
8	131	14475
9	142	14082
10	152	13672
11	161	13336
12	172	13129
13	182	12875
14	192	12638
15	202	12440
16	211	12227
17	220	12041
18	230	11902
19	239	11757
20	249	11624
21	259	11523
22	269	11458
23	279	11380
24	290	11328
25	300	11253
26	310	11172
27	319	11106
28	330	11050
29	339	10976
30	349	10917
31	360	10892
32	369	10836
33	379	10771
34	388	10724
35	398	10678
36	408	10619
37	418	10582
38	427	10533
39	437	10493
40	446	10447
41	456	10416
42	466	10377
43	475	10335
44	485	10305
45	495	10269
46	504	10220
47	513	10174
48	521	10130
49	531	10096
50	540	10055
51	549	10011
52	557	9967
53	566	9930
54	575	9892
55	584	9860
56	594	9830
57	602	9792
58	611	9757
59	621	9742
60	632	9731
61	642	9721
62	653	9715
63	663	9706
64	674	9695
65	683	9676
66	693	9655
67	702	9631
68	712	9607
69	720	9573
70	730	9560
71	739	9531
72	748	9508
73	758	9486
74	767	9462
75	775	9430
76	784	9406
77	794	9388
78	803	9363
79	811	9334
80	820	9310
81	829	9286
82	838	9266
83	848	9247
84	857	9234
85	867	9218
86	877	9209
87	886	9190
88	897	9182
89	907	9176
90	916	9157
91	926	9142
92	936	9128
93	945	9110
94	955	9099
95	965	9090
96	974	9073
97	983	9053
98	993	9043
99	1003	9027
100	1012	9014
101	1021	8996
102	1031	8986
103	1041	8972
104	1051	8961
105	1060	8942
106	1070	8938
107	1080	8923
108	1090	8914
109	1099	8897
110	1108	8881
111	1117	8863
112	1127	8851
113	1137	8836
114	1145	8818
115	1154	8800
116	1163	8783
117	1173	8772
118	1183	8759
119	1192	8745
120	1201	8730
121	1216	8757
122	1225	8740
123	1234	8720
124	1242	8700
125	1251	8681
126	1261	8670
127	1270	8655
128	1279	8639
129	1288	8621
130	1297	8607
131	1307	8596
132	1317	8587
133	1327	8577
134	1337	8569
135	1346	8555
136	1356	8545
137	1366	8534
138	1387	8596
139	1397	8585
140	1407	8575
141	1417	8563
142	1426	8550
143	1436	8538
144	1447	8532
145	1456	8521
146	1466	8509
147	1477	8502
148	1487	8495
149	1497	8483
150	1506	8470
151	1516	8459
152	1541	8531
153	1550	8520
154	1560	8509
155	1570	8498
156	1580	8486
157	1590	8474
158	1599	8461
159	1609	8449
160	1618	8436
161	1628	8421
162	1637	8406
163	1646	8390
164	1655	8375
165	1663	8359
166	1672	8344
167	1681	8327
168	1690	8310
169	1699	8297
170	1708	8283
171	1717	8268
172	1726	8254
173	1736	8242
174	1745	8226
175	1753	8211
176	1762	8194
177	1771	8178
178	1779	8163
179	1788	8148
180	1797	8133
181	1806	8121
182	1816	8107
183	1825	8097
184	1835	8086
185	1844	8074
186	1854	8064
187	1864	8054
188	1874	8044
189	1884	8033
190	1893	8020
191	1903	8008
192	1912	7998
193	1922	7986
194	1932	7976
195	1941	7964
196	1951	7953
197	1960	7942
198	1970	7930
199	1980	7922
200	1990	7910
201	1999	7900
202	2009	7891
203	2019	7878
204	2028	7866
205	2037	7855
206	2047	7843
207	2057	7835
208	2066	7822
209	2076	7812
210	2086	7800
